Disease,symptom
Fungal infection,itching
Fungal infection,skin_rash
Fungal infection,nodal_skin_eruptions
Fungal infection,dischromic _patches
Allergy,continuous_sneezing
Allergy,shivering
Allergy,chills
Allergy,watering_from_eyes
GERD,stomach_pain
GERD,acidity
GERD,ulcers_on_tongue
GERD,vomiting
GERD,cough
GERD,chest_pain
Chronic cholestasis,itching
Chronic cholestasis,vomiting
Chronic cholestasis,yellowish_skin
Chronic cholestasis,nausea
Chronic cholestasis,loss_of_appetite
Chronic cholestasis,abdominal_pain
Chronic cholestasis,yellowing_of_eyes
Drug Reaction,itching
Drug Reaction,skin_rash
Drug Reaction,stomach_pain
Drug Reaction,burning_micturition
Drug Reaction,spotting_ urination
Peptic ulcer diseae,vomiting
Peptic ulcer diseae,loss_of_appetite
Peptic ulcer diseae,abdominal_pain
Peptic ulcer diseae,passage_of_gases
Peptic ulcer diseae,internal_itching
Peptic ulcer diseae,indigestion
AIDS,muscle_wasting
AIDS,patches_in_throat
AIDS,high_fever
AIDS,extra_marital_contacts
Diabetes,fatigue
Diabetes,weight_loss
Diabetes,restlessness
Diabetes,lethargy
Diabetes,irregular_sugar_level
Diabetes,blurred_and_distorted_vision
Diabetes,obesity
Diabetes,excessive_hunger
Diabetes,increased_appetite
Diabetes,polyuria
Gastroenteritis,vomiting
Gastroenteritis,sunken_eyes
Gastroenteritis,dehydration
Gastroenteritis,diarrhoea
Bronchial Asthma,fatigue
Bronchial Asthma,cough
Bronchial Asthma,high_fever
Bronchial Asthma,breathlessness
Bronchial Asthma,family_history
Bronchial Asthma,mucoid_sputum
Hypertension,headache
Hypertension,chest_pain
Hypertension,dizziness
Hypertension,loss_of_balance
Hypertension,lack_of_concentration
Migraine,acidity
Migraine,indigestion
Migraine,headache
Migraine,blurred_and_distorted_vision
Migraine,excessive_hunger
Migraine,stiff_neck
Migraine,depression
Migraine,irritability
Migraine,visual_disturbances
Cervical spondylosis,back_pain
Cervical spondylosis,weakness_in_limbs
Cervical spondylosis,neck_pain
Cervical spondylosis,dizziness
Cervical spondylosis,loss_of_balance
Paralysis (brain hemorrhage),vomiting
Paralysis (brain hemorrhage),headache
Paralysis (brain hemorrhage),weakness_of_one_body_side
Paralysis (brain hemorrhage),altered_sensorium
Jaundice,itching
Jaundice,vomiting
Jaundice,fatigue
Jaundice,weight_loss
Jaundice,high_fever
Jaundice,yellowish_skin
Jaundice,dark_urine
Jaundice,abdominal_pain
Malaria,chills
Malaria,vomiting
Malaria,high_fever
Malaria,sweating
Malaria,headache
Malaria,nausea
Malaria,muscle_pain
Malaria,diarrhoea
Chicken pox,itching
Chicken pox,skin_rash
Chicken pox,fatigue
Chicken pox,lethargy
Chicken pox,high_fever
Chicken pox,headache
Chicken pox,loss_of_appetite
Chicken pox,mild_fever
Chicken pox,swelled_lymph_nodes
Chicken pox,malaise
Chicken pox,red_spots_over_body
Dengue,skin_rash
Dengue,chills
Dengue,joint_pain
Dengue,vomiting
Dengue,fatigue
Dengue,high_fever
Dengue,headache
Dengue,nausea
Dengue,loss_of_appetite
Dengue,pain_behind_the_eyes
Dengue,back_pain
Typhoid,chills
Typhoid,vomiting
Typhoid,fatigue
Typhoid,high_fever
Typhoid,nausea
Typhoid,constipation
Typhoid,abdominal_pain
Typhoid,diarrhoea
Typhoid,toxic_look_(typhos)
Typhoid,belly_pain
Typhoid,headache
hepatitis A,joint_pain
hepatitis A,vomiting
hepatitis A,yellowish_skin
hepatitis A,dark_urine
hepatitis A,nausea
hepatitis A,loss_of_appetite
hepatitis A,abdominal_pain
hepatitis A,diarrhoea
hepatitis A,mild_fever
hepatitis A,yellowing_of_eyes
hepatitis A,muscle_pain
Hepatitis B,itching
Hepatitis B,fatigue
Hepatitis B,lethargy
Hepatitis B,yellowish_skin
Hepatitis B,dark_urine
Hepatitis B,loss_of_appetite
Hepatitis B,abdominal_pain
Hepatitis B,yellow_urine
Hepatitis B,yellowing_of_eyes
Hepatitis B,malaise
Hepatitis B,receiving_blood_transfusion
Hepatitis C,fatigue
Hepatitis C,yellowish_skin
Hepatitis C,nausea
Hepatitis C,loss_of_appetite
Hepatitis C,family_history
Hepatitis C,yellowing_of_eyes
Hepatitis D,joint_pain
Hepatitis D,vomiting
Hepatitis D,fatigue
Hepatitis D,yellowish_skin
Hepatitis D,dark_urine
Hepatitis D,nausea
Hepatitis D,loss_of_appetite
Hepatitis D,abdominal_pain
Hepatitis D,yellowing_of_eyes
Hepatitis E,joint_pain
Hepatitis E,vomiting
Hepatitis E,fatigue
Hepatitis E,high_fever
Hepatitis E,yellowish_skin
Hepatitis E,dark_urine
Hepatitis E,nausea
Hepatitis E,loss_of_appetite
Hepatitis E,abdominal_pain
